장소,분류,별점,주소,상호 번호
갓잇 송리단길점,양식,4.2,"
서울 송파구 오금로16길 20 1,2층
(지번) 송파동 37-6
",070-8824-9451
고도식 잠실점,"육류,고기",,"
서울 송파구 백제고분로45길 28 1층
(지번) 송파동 55-7
",02-422-8692
라라브레드 잠실점,디저트카페,4.0,"
서울 송파구 오금로16길 4 지하1층, 1,2층
(지번) 송파동 58-8
",
일일향 잠실점,중국요리,,"
서울 송파구 석촌호수로 290 성우빌딩 지하1층,1~2층 B02호
(지번) 송파동 58-18
",02-421-8900
벨라스가든,양식,3.4,"
서울 송파구 백제고분로41길 42-19
(지번) 송파동 32-2
",02-424-4243
멘야하나비 서울본점,일식,3.7,"
서울 송파구 백제고분로45길 38 1층 103호
(지번) 송파동 57
",070-8959-1108
뉴질랜드스토리,카페,4.3,"
서울 송파구 석촌호수로 268 경남레이크파크 1층
(지번) 송파동 32-1
",070-7523-6265
엘리스리틀이태리,이탈리안,4.0,"
서울 송파구 백제고분로41길 43-21 1층
(지번) 송파동 8
",
피제리아라고,피자,4.1,"
서울 송파구 백제고분로41길 39
(지번) 송파동 9-9
",02-422-8588
디트로네 잠실점,카페,3.2,"
서울 송파구 석촌호수로 258 아르누보팰리스 1층 105호
(지번) 송파동 7-1
",02-422-5021
젠젠 잠실점,디저트카페,3.4,"
서울 송파구 백제고분로45길 34 동방빌딩 2층
(지번) 송파동 56-1
",02-412-7240
서정적살롱,카페,2.3,"
서울 송파구 석촌호수로 274
(지번) 송파동 32-7
",02-415-7670
서울리즘,카페,2.2,"
서울 송파구 백제고분로 435 예스빌딩 1, 6층
(지번) 송파동 48-7
",02-412-0812
입분식가정집,분식,3.9,"
서울 송파구 오금로18길 10 2층
(지번) 송파동 51-4
",
돈블랑 석촌호수점,"육류,고기",3.2,"
서울 송파구 석촌호수로 296 1층
(지번) 송파동 58
",02-423-8400
갓잇 송리단길점,양식,4.2,"
서울 송파구 오금로16길 20 1,2층
(지번) 송파동 37-6
",070-8824-9451
고도식 잠실점,"육류,고기",,"
서울 송파구 백제고분로45길 28 1층
(지번) 송파동 55-7
",02-422-8692
라라브레드 잠실점,디저트카페,4.0,"
서울 송파구 오금로16길 4 지하1층, 1,2층
(지번) 송파동 58-8
",
일일향 잠실점,중국요리,,"
서울 송파구 석촌호수로 290 성우빌딩 지하1층,1~2층 B02호
(지번) 송파동 58-18
",02-421-8900
벨라스가든,양식,3.4,"
서울 송파구 백제고분로41길 42-19
(지번) 송파동 32-2
",02-424-4243
멘야하나비 서울본점,일식,3.7,"
서울 송파구 백제고분로45길 38 1층 103호
(지번) 송파동 57
",070-8959-1108
뉴질랜드스토리,카페,4.3,"
서울 송파구 석촌호수로 268 경남레이크파크 1층
(지번) 송파동 32-1
",070-7523-6265
엘리스리틀이태리,이탈리안,4.0,"
서울 송파구 백제고분로41길 43-21 1층
(지번) 송파동 8
",
피제리아라고,피자,4.1,"
서울 송파구 백제고분로41길 39
(지번) 송파동 9-9
",02-422-8588
디트로네 잠실점,카페,3.2,"
서울 송파구 석촌호수로 258 아르누보팰리스 1층 105호
(지번) 송파동 7-1
",02-422-5021
젠젠 잠실점,디저트카페,3.4,"
서울 송파구 백제고분로45길 34 동방빌딩 2층
(지번) 송파동 56-1
",02-412-7240
서정적살롱,카페,2.3,"
서울 송파구 석촌호수로 274
(지번) 송파동 32-7
",02-415-7670
서울리즘,카페,2.2,"
서울 송파구 백제고분로 435 예스빌딩 1, 6층
(지번) 송파동 48-7
",02-412-0812
입분식가정집,분식,3.9,"
서울 송파구 오금로18길 10 2층
(지번) 송파동 51-4
",
돈블랑 석촌호수점,"육류,고기",3.2,"
서울 송파구 석촌호수로 296 1층
(지번) 송파동 58
",02-423-8400
미엔아이 송파점,중식,4.4,"
서울 송파구 오금로16길 5 1층 101호
(지번) 송파동 55
",02-422-0652
위커파크,카페,3.8,"
서울 송파구 석촌호수로 298 잠실대우레이크월드 103-1호
(지번) 송파동 58-1
",010-2942-0447
피자네버슬립스,피자,4.1,"
서울 송파구 백제고분로45길 6
(지번) 송파동 49-5
",070-8835-5877
에브리데이몬데이,갤러리카페,4.1,"
서울 송파구 송파대로48길 14
(지번) 송파동 9-17
",010-4393-0622
러반로제레스토랑 석촌호수점,양식,3.9,"
서울 송파구 석촌호수로 274 씨엠빌딩 8층
(지번) 송파동 32-7
",070-7778-9471
송리단취향,양식,2.6,"
서울 송파구 백제고분로45길 20 1층
(지번) 송파동 53-10
",010-7574-9244
그리지하우스,"스테이크,립",4.0,"
서울 송파구 백제고분로41길 43-17 1층
(지번) 송파동 8-11
",02-6013-8169
오린지,디저트카페,3.1,"
서울 송파구 송파대로48길 19 1층
(지번) 송파동 30-9
",
빠레뜨한남 석촌호수점,양식,3.8,"
서울 송파구 오금로16길 10 1층
(지번) 송파동 57-11
",02-6407-3417
부부횟집 서울점,회,3.3,"
서울 송파구 오금로18길 4
(지번) 송파동 59-13
",02-415-8881
디저티스트,디저트카페,4.1,"
서울 송파구 송파대로48길 37 호수임광아파트상가 2층
(지번) 송파동 33
",
아웃백스테이크하우스 잠실점,패밀리레스토랑,4.1,"
서울 송파구 송파대로 466
(지번) 송파동 15-1
",02-418-4071
코히루,카페,4.2,"
서울 송파구 오금로 148 2층 202호
(지번) 송파동 48-16
",070-8834-5252
짬뽕지존 송파점,중식,3.3,"
서울 송파구 오금로 152 1층
(지번) 송파동 48-13
",02-422-5161
박복순쭈꾸미,"해물,생선",4.1,"
서울 송파구 백제고분로41길 42-20 1층 101호
(지번) 송파동 30-10
",070-7576-3526
진저베어,디저트카페,3.2,"
서울 송파구 백제고분로41길 43-7 1층
(지번) 송파동 8-10
",
니커버커베이글,"제과,베이커리",3.4,"
서울 송파구 석촌호수로 268 1층 109~112호
(지번) 송파동 32-1
",
다케오호르몬데판야끼 송리단길점,"육류,고기",2.0,"
서울 송파구 백제고분로45길 8 1층
(지번) 송파동 49-11
",070-4468-6654
인딕슬로우 송리단길점,양식,4.4,"
서울 송파구 백제고분로45길 28 벤도치빌딩 2층 201호
(지번) 송파동 55-7
",02-423-0100
스타벅스 석촌호수점,커피전문점,3.8,"
서울 송파구 석촌호수로 262 지상 1, 2층
(지번) 송파동 7-5
",1522-3232
토닭토닭,닭요리,3.3,"
서울 송파구 백제고분로45길 38
(지번) 송파동 57
",02-6925-0206
스시랑랑,"초밥,롤",4.2,"
서울 송파구 오금로 144
(지번) 송파동 59-10
",02-2203-8588
모토쿠라시,일본식주점,4.0,"
서울 송파구 백제고분로41길 27 2층 나무문
(지번) 송파동 11-2
",0507-1318-6327
라이언하트,칵테일바,,"
서울 송파구 석촌호수로 284 현대레이크빌 상가동 지하1층 104호
(지번) 송파동 31-2
",010-2874-9080
대갈곱창&막창 송파점,"곱창,막창",3.2,"
서울 송파구 백제고분로45길 21-1
(지번) 송파동 39-9
",02-425-0892
더빛남,베트남음식,4.5,"
서울 송파구 오금로18길 5 1층
(지번) 송파동 50-9
",0507-1371-2495
스타벅스 송파나루역DT점,커피전문점,3.4,"
서울 송파구 오금로 142
(지번) 송파동 59-9
",1522-3232
도니족발,"족발,보쌈",3.8,"
서울 송파구 백제고분로41길 45 1층
(지번) 송파동 7-12
",02-419-8664
사케쇼프,일본식주점,3.4,"
서울 송파구 오금로16길 12 1층
(지번) 송파동 56-6
",010-8517-0440
메밀집,한식,4.4,"
서울 송파구 백제고분로45길 25 1층
(지번) 송파동 38-3
",02-425-3003
김태완스시 송파본점,"초밥,롤",4.2,"
서울 송파구 오금로 148 1층
(지번) 송파동 48-16
",02-2202-3303
설빙 서울석촌호수동호점,디저트카페,3.0,"
서울 송파구 석촌호수로 278 여흥레이크빌 1층
(지번) 송파동 31-1
",02-3432-7555
서보,태국음식,4.8,"
서울 송파구 오금로18길 5 1층 101호
(지번) 송파동 50-9
",0507-1355-8518
카페페퍼,카페,3.5,"
서울 송파구 백제고분로45길 12 2층
(지번) 송파동 51-10
",02-421-0514
신라샤브칼국수 송파점,샤브샤브,4.5,"
서울 송파구 백제고분로41길 40
(지번) 송파동 29
",02-423-7081
밉,양식,3.6,"
서울 송파구 석촌호수로 272 대림빌딩 1층
(지번) 송파동 32
",02-6407-0560
이월로스터스 송파1호점,카페,3.8,"
서울 송파구 백제고분로45길 14 1층
(지번) 송파동 51-7
",070-8839-1004
앤티크커피 잠실점,카페,3.6,"
서울 송파구 백제고분로41길 21-16 1층
(지번) 송파동 12-6
",
용대리코다리찜,"해물,생선",3.9,"
서울 송파구 백제고분로41길 41 1층
(지번) 송파동 8-3
",02-412-7729
온나,"호프,요리주점",4.4,"
서울 송파구 백제고분로41길 32 평안빌딩 1층
(지번) 송파동 28-14
",02-423-5455
감성채널,분식,3.9,"
서울 송파구 오금로 146
(지번) 송파동 59-11
",02-423-8401
마운틴누크,카페,4.3,"
서울 송파구 백제고분로45길 32 빌드원빌딩 2,3층
(지번) 송파동 56-7
",070-4770-1717
솔솥 송리단길점,한식,4.3,"
서울 송파구 오금로18길 9 1층 102호
(지번) 송파동 50-11
",02-415-1397
보길,일식,4.4,"
서울 송파구 오금로16길 10-8 1층 101호
(지번) 송파동 57-16
",0507-1369-6372
봉땅,디저트카페,4.3,"
서울 송파구 백제고분로41길 42-8 1층
(지번) 송파동 30-5
",010-8821-7769
큰손흑돼지,"육류,고기",4.0,"
서울 송파구 백제고분로45길 10
(지번) 송파동 50
",02-420-5524
랜떡 송파직영점,떡볶이,3.1,"
서울 송파구 백제고분로41길 27-1 1층 1호
(지번) 송파동 12-2
",02-3432-1118
안준수보리밥 잠실본점,한식,3.6,"
서울 송파구 백제고분로41길 43-5
(지번) 송파동 8-2
",
초이다이닝 송파점,일식집,3.3,"
서울 송파구 백제고분로45길 21-1 2층
(지번) 송파동 39-9
",02-6409-2022
맞닿음,오뎅바,3.9,"
서울 송파구 백제고분로45길 34 1층
(지번) 송파동 56-1
",02-417-0560
신양로스터스,카페,4.7,"
서울 송파구 오금로18길 3 1층
(지번) 송파동 48-15
",02-420-3602
차만다 잠실점,양식,4.2,"
서울 송파구 오금로16길 4-15 1층
(지번) 송파동 57-9
",02-422-0812
창화당 석촌호수점,분식,3.9,"
서울 송파구 오금로16길 12 1층
(지번) 송파동 56-6
",070-8811-0908
바이더레이크,"호프,요리주점",3.4,"
서울 송파구 송파대로48길 20 1층
(지번) 송파동 29-12
",02-420-2912
마타,일본식주점,4.2,"
서울 송파구 백제고분로45길 25 1층
(지번) 송파동 38-3
",010-8528-1068
세컨디포레스트 송리단길점,양식,4.6,"
서울 송파구 백제고분로45길 6 1층
(지번) 송파동 49-5
",02-413-6945
젤라떼리아도도,아이스크림,4.2,"
서울 송파구 백제고분로41길 21-24 1층
(지번) 송파동 12-5
",02-421-8497
석촌호민물장어,장어,3.9,"
서울 송파구 석촌호수로 290
(지번) 송파동 58-18
",02-422-6050
72420 송파직영점,베트남음식,3.7,"
서울 송파구 백제고분로45길 12
(지번) 송파동 51-10
",02-417-2420
광화문갈비 석촌호수점,갈비,3.3,"
서울 송파구 석촌호수로 296 6층
(지번) 송파동 58
",02-423-3315
요찌무,일본식라면,4.4,"
서울 송파구 백제고분로45길 23-5 1층 102호
(지번) 송파동 39-19
",0507-1349-3255
BBQ 빌리지점,치킨,2.8,"
서울 송파구 석촌호수로 284 현대레이크빌 1층 102~108호
(지번) 송파동 31-2
",02-2203-8292
하얼빈 양갈비&양꼬치,양꼬치,4.4,"
서울 송파구 백제고분로41길 39
(지번) 송파동 9-9
",02-2202-1688
슈야,디저트카페,4.5,"
서울 송파구 백제고분로45길 23 1층
(지번) 송파동 39-3
",02-6953-9971
사브레,와인바,3.7,"
서울 송파구 송파대로46길 28 2층
(지번) 송파동 27-3
",070-7628-2828
셔터54,칵테일바,4.7,"
서울 송파구 백제고분로45길 22-1 1층
(지번) 송파동 54-13
",02-2203-2294
알라보 석촌호수점,샐러드,4.2,"
서울 송파구 백제고분로45길 32 빌드원빌딩 1층 102호
(지번) 송파동 56-7
",02-423-0939
리프커피바,카페,4.0,"
서울 송파구 백제고분로43길 24 R&BHaus 1층 101호
(지번) 송파동 39-15
",02-6205-5886
웰하우스,커피전문점,4.3,"
서울 송파구 오금로16길 10 2층
(지번) 송파동 57-11
",010-2662-1816
평화집,"해물,생선",3.9,"
서울 송파구 백제고분로41길 27 1층 103,104호
(지번) 송파동 11-2
",
케키하우스,카페,3.9,"
서울 송파구 백제고분로41길 35 2층
(지번) 송파동 10-1
",
라코즈,양식,4.3,"
서울 송파구 백제고분로45길 40 2층
(지번) 송파동 58-15
",02-423-7846
구대륙,와인바,4.4,"
서울 송파구 오금로16길 9-1 1, 지하 1층
(지번) 송파동 55-5
",
카페시나몬,커피전문점,,"
서울 송파구 석촌호수로 258 아르누보팰리스 101호 카페시나몬
(지번) 송파동 7-1
",02-6485-8809
천향마라탕 잠실점,중국요리,3.3,"
서울 송파구 오금로18길 12 1층
(지번) 송파동 51-8
",
아우네철판삼겹,"육류,고기",3.4,"
서울 송파구 백제고분로41길 24-1 1층
(지번) 송파동 26-7
",02-424-2229
소요리,일식,3.8,"
서울 송파구 백제고분로41길 33 1층 102호
(지번) 송파동 10-7
",
맥주유소 석촌호수본점,"호프,요리주점",2.5,"
서울 송파구 백제고분로41길 42-8
(지번) 송파동 30-3
",02-2202-5545
슬로우캘리 송리단점,양식,4.0,"
서울 송파구 오금로 126 레이크해모로 1층
(지번) 송파동 58-4
",02-422-2074
써브웨이 석촌호수점,샌드위치,4.2,"
서울 송파구 석촌호수로 298 잠실대우레이크월드 101호
(지번) 송파동 58-1
",02-424-0020
그림제작소,테마카페,4.9,"
서울 송파구 석촌호수로 290 성우빌딩 3층 301호
(지번) 송파동 58-18
",070-8846-0082
승일참치 송파점,참치회,3.3,"
서울 송파구 석촌호수로 290
(지번) 송파동 58-18
",02-2203-3044
